delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
1458.0,326.0,1784.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N_Y[5].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42734.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[5\].A1 (326:326:326) (326:326:326)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$4740.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$14616_Y\[5\].A1 (1784:1784:1784) (1784:1784:1784))
1455.0,495.0,1950.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[96].A5,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43426.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[96\].A5 (495:495:495) (495:495:495)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[96\].A5 (1950:1950:1950) (1950:1950:1950))
1449.0,381.0,1830.0,all,,['other'],INTERCONNECT:bist_counts[22]$LUT$N.A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42637.Q bist_counts\[22\]\$LUT\$600.A1 (381:381:381) (381:381:381)),(INTERCONNECT \$PACKER_GND_DRV.Y bist_counts\[22\]\$LUT\$600.A1 (1830:1830:1830) (1830:1830:1830))
1440.0,300.0,1740.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[69].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29410.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[69\].A1 (300:300:300) (300:300:300)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[69\].A1 (1740:1740:1740) (1740:1740:1740))
1425.0,540.0,1965.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[66].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29407.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[66\].A1 (540:540:540) (540:540:540)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[66\].A1 (1965:1965:1965) (1965:1965:1965))
1425.0,584.0,2009.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.o_wb_data[78].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29345.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[78\].A2 (584:584:584) (584:584:584)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43369.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.o_wb_data\[78\].A2 (2009:2009:2009) (2009:2009:2009))
1412.0,298.0,1710.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[6].A1,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43537.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage2_row_d\[6\].A1 (298:298:298) (298:298:298)),(INTERCONNECT \$auto\$abc9_ops\.cc\:1550\:reintegrate\$179487.O6 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage2_row_d\[6\].A1 (1710:1710:1710) (1710:1710:1710))
1409.0,150.0,1559.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.Y[23].A1,(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$18022.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9114\.Y\[23\].A1 (150:150:150) (150:150:150)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$18027.O6 \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9114\.Y\[23\].A1 (1559:1559:1559) (1559:1559:1559))
1394.0,0.0,1394.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[0].A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$43683.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[0\].A3 (0:0:0) (0:0:0)),(INTERCONNECT \$abc\$179448\$lut\$aiger179447\$8329.O5 \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.stage1_next_row_d\[0\].A3 (1394:1394:1394) (1394:1394:1394))
1379.0,855.0,2234.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[85].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42972.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[85\].A2 (855:855:855) (855:855:855)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[85\].A2 (2234:2234:2234) (2234:2234:2234))
