feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pairs,fail_to_pass_n,fail_to_pass_median_delta,fail_to_pass_median_delta_abs,fail_to_pass_abs_improved,fail_to_pass_abs_worsened,fail_to_pass_sign_flip,pass_to_fail_n,pass_to_fail_median_delta,pass_to_fail_median_delta_abs,pass_to_fail_abs_improved,pass_to_fail_abs_worsened,pass_to_fail_sign_flip,fail_to_fail_n,fail_to_fail_median_delta,fail_to_fail_median_delta_abs,fail_to_fail_abs_improved,fail_to_fail_abs_worsened,fail_to_fail_sign_flip,pass_to_pass_n,pass_to_pass_median_delta,pass_to_pass_median_delta_abs,pass_to_pass_abs_improved,pass_to_pass_abs_worsened,pass_to_pass_sign_flip,transition_delta_contrast,transition_abs_delta_contrast,contrast_score
sdf::direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq7__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq7,0,endpoint,43,18,-339.0,-339.0,13,5,0,10,-88.5,-88.5,6,4,0,6,-270.5,-270.5,5,1,0,9,-635.0,-635.0,7,2,0,250.5,250.5,375.75
sdf::direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,43,18,-156.0,-156.0,10,8,0,10,93.5,93.5,4,6,0,6,-320.0,-320.0,5,1,0,9,-209.0,-209.0,6,3,0,249.5,249.5,374.25
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,43,18,141.5,141.5,7,11,0,10,-106.5,-106.5,7,3,0,6,-175.0,-175.0,3,3,0,9,-145.0,-145.0,6,3,0,-248.0,-248.0,372.0
sdf::cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,sdf,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,43,18,-15.0,-15.0,9,8,0,10,232.5,232.5,2,8,0,6,-123.5,-123.5,4,2,0,9,35.0,35.0,4,5,0,247.5,247.5,371.25
sdf::lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,sdf,lane_spread__idelay_dqs_cntvaluein__lane0__no_bit__ctrl_none__lane__value_ps,lane_spread,idelay_dqs_cntvaluein,lane0,,,lane,43,18,-15.0,-15.0,9,8,0,10,232.5,232.5,2,8,0,6,-123.5,-123.5,4,2,0,9,35.0,35.0,4,5,0,247.5,247.5,371.25
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,43,18,168.5,-84.0,11,7,9,10,-201.5,-82.5,7,3,5,6,167.0,-36.0,3,3,2,9,491.0,166.0,4,5,7,-370.0,1.5,370.75
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,43,18,120.0,33.5,9,9,10,10,360.5,-226.0,8,2,5,6,22.5,-298.5,5,1,4,9,189.0,-7.0,5,4,6,240.5,-259.5,370.25
skew::signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,ld_vs_cntvaluein_dqs,43,18,-420.5,95.5,8,10,6,10,-730.5,214.5,3,7,5,6,-226.5,74.5,2,4,2,9,-469.0,396.0,1,8,5,-310.0,119.0,369.5
sdf::direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_2__endpoint__value_ps,sdf,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,2,endpoint,43,18,-194.5,-194.5,13,5,0,10,50.0,50.0,4,6,0,6,-469.0,-469.0,5,1,0,9,-574.0,-574.0,8,1,0,244.5,244.5,366.75
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,43,18,128.5,-40.0,10,8,9,10,432.5,-162.5,7,3,7,6,55.5,32.5,3,3,4,9,742.0,24.0,4,5,7,304.0,-122.5,365.25
