family,constant_edge,delta_ps,baseline_ps,variant_ps,key,baseline_text,variant_text
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[47]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[47\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[47\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[48]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[48\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[48\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[49]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[49\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[49\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[50]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[50\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[50\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[51]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[51\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[51\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[52]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[52\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[52\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[53]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[53\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[53\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[54]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[54\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[54\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[55]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[55\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[55\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[56]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[56\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[56\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[57]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[57\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[57\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[58]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[58\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[58\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[59]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[59\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[59\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
dq_dqs_input,True,0.0,1055.0,1055.0,INTERCONNECT:$iopadmap$ypcb_00338_1p1_ddr3.ddr3_dq[60]$subcell$OBUFT.TRI,(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[60\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$iopadmap\$ypcb_00338_1p1_ddr3\.ddr3_dq\[60\]\$subcell\$OBUFT.TRI (1055:1055:1055) (1055:1055:1055))
