family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,3,bist_counts[46]$LUT$N,SLICE_LUTX,SLICE_X2Y194/C6LUT,SLICE_X2Y191/C6LUT
read_bist_state17,3,bist_counts[47]$LUT$N,SLICE_LUTX,SLICE_X2Y194/D6LUT,SLICE_X2Y191/D6LUT
read_bist_state17,3,bist_counts[48]$LUT$N,SLICE_LUTX,SLICE_X2Y195/A6LUT,SLICE_X2Y192/A6LUT
read_bist_state17,3,bist_counts[49]$LUT$N,SLICE_LUTX,SLICE_X2Y195/B6LUT,SLICE_X2Y192/B6LUT
read_bist_state17,3,bist_counts[50]$LUT$N,SLICE_LUTX,SLICE_X2Y195/C6LUT,SLICE_X2Y192/C6LUT
read_bist_state17,3,bist_counts[51]$LUT$N,SLICE_LUTX,SLICE_X2Y195/D6LUT,SLICE_X2Y192/D6LUT
read_bist_state17,3,bist_counts[52]$LUT$N,SLICE_LUTX,SLICE_X2Y196/A6LUT,SLICE_X2Y193/A6LUT
read_bist_state17,3,bist_counts[53]$LUT$N,SLICE_LUTX,SLICE_X2Y196/B6LUT,SLICE_X2Y193/B6LUT
read_bist_state17,3,bist_counts[54]$LUT$N,SLICE_LUTX,SLICE_X2Y196/C6LUT,SLICE_X2Y193/C6LUT
read_bist_state17,3,bist_counts[55]$LUT$N,SLICE_LUTX,SLICE_X2Y196/D6LUT,SLICE_X2Y193/D6LUT
read_bist_state17,3,bist_counts[56]$LUT$N,SLICE_LUTX,SLICE_X2Y197/A6LUT,SLICE_X2Y194/A6LUT
read_bist_state17,3,bist_counts[57]$LUT$N,SLICE_LUTX,SLICE_X2Y197/B6LUT,SLICE_X2Y194/B6LUT
read_bist_state17,3,bist_counts[58]$LUT$N,SLICE_LUTX,SLICE_X2Y197/C6LUT,SLICE_X2Y194/C6LUT
read_bist_state17,3,bist_counts[59]$LUT$N,SLICE_LUTX,SLICE_X2Y197/D6LUT,SLICE_X2Y194/D6LUT
read_bist_state17,3,bist_counts[60]$LUT$N,SLICE_LUTX,SLICE_X2Y198/A6LUT,SLICE_X2Y195/A6LUT
read_bist_state17,3,bist_counts[61]$LUT$N,SLICE_LUTX,SLICE_X2Y198/B6LUT,SLICE_X2Y195/B6LUT
read_bist_state17,3,bist_counts[62]$LUT$N,SLICE_LUTX,SLICE_X2Y198/C6LUT,SLICE_X2Y195/C6LUT
read_bist_state17,3,bist_counts[63]$LUT$N,SLICE_LUTX,SLICE_X2Y198/D6LUT,SLICE_X2Y195/D6LUT
read_bist_state17,2,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[11],SLICE_LUTX,SLICE_X10Y99/C6LUT,SLICE_X11Y100/C6LUT
read_bist_state17,2,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[12],SLICE_LUTX,SLICE_X9Y107/A6LUT,SLICE_X10Y108/C6LUT
read_bist_state17,2,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[3],SLICE_LUTX,SLICE_X10Y97/A6LUT,SLICE_X11Y98/B6LUT
read_bist_state17,2,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[4],SLICE_LUTX,SLICE_X11Y94/C6LUT,SLICE_X11Y96/B6LUT
read_bist_state17,1,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[2],SLICE_LUTX,SLICE_X11Y100/D6LUT,SLICE_X11Y99/D6LUT
read_bist_state17,1,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[4],SLICE_LUTX,SLICE_X11Y100/B6LUT,SLICE_X11Y99/C6LUT
read_bist_state17,1,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[5],SLICE_LUTX,SLICE_X11Y100/A6LUT,SLICE_X11Y99/B6LUT
read_bist_state17,1,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[8],SLICE_LUTX,SLICE_X10Y99/A6LUT,SLICE_X11Y99/A6LUT
read_bist_state17,0,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[3],SLICE_LUTX,SLICE_X11Y100/C6LUT,SLICE_X11Y100/B6LUT
