sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-2,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1190.0,1335.0,1840.0,1840.0,650.0,650.0
baseline-no-lock-seed-20,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1786.0,2006.0,2167.0,2167.0,381.0,381.0
baseline-no-lock-seed-21,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1200.0,1254.0,1840.0,1840.0,640.0,640.0
baseline-no-lock-seed-22,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1547.0,1771.0,2726.0,2726.0,1179.0,1179.0
baseline-no-lock-seed-23,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1429.0,1575.0,1791.0,1791.0,362.0,362.0
baseline-no-lock-seed-24,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1483.0,1547.0,1797.0,1797.0,314.0,314.0
baseline-no-lock-seed-25,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1251.0,1702.0,1733.0,1733.0,482.0,482.0
baseline-no-lock-seed-26,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1521.0,1666.0,1930.0,1930.0,409.0,409.0
baseline-no-lock-seed-27,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1728.0,2023.0,2098.0,2098.0,370.0,370.0
baseline-no-lock-seed-28,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1253.0,1631.0,2039.0,2039.0,786.0,786.0
baseline-no-lock-seed-29,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1384.0,1700.0,2104.0,2104.0,720.0,720.0
baseline-no-lock-seed-3,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq2,,dq2,5,1837.0,2154.0,2286.0,2286.0,449.0,449.0
