sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1304.0,1458.0,2302.0,2302.0,998.0,998.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1207.0,1662.0,1991.0,1991.0,784.0,784.0
baseline-no-lock-seed-41,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1348.0,1582.0,1838.0,1838.0,490.0,490.0
baseline-no-lock-seed-42,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1222.0,1414.0,1606.0,1606.0,384.0,384.0
baseline-no-lock-seed-43,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1105.0,1582.0,1998.0,1998.0,893.0,893.0
baseline-no-lock-seed-44,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1151.0,1597.0,2177.0,2177.0,1026.0,1026.0
baseline-no-lock-seed-45,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1182.0,1679.0,1713.0,1713.0,531.0,531.0
baseline-no-lock-seed-46,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1274.0,1981.0,2069.0,2069.0,795.0,795.0
baseline-no-lock-seed-47,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1190.0,1562.0,1578.0,1578.0,388.0,388.0
baseline-no-lock-seed-48,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1751.0,2084.0,2323.0,2323.0,572.0,572.0
baseline-no-lock-seed-49,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1674.0,2117.0,2420.0,2420.0,746.0,746.0
baseline-no-lock-seed-50,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1386.0,1723.0,2359.0,2359.0,973.0,973.0
baseline-no-lock-seed-51,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1256.0,1682.0,2078.0,2078.0,822.0,822.0
baseline-no-lock-seed-52,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1220.0,1712.0,2190.0,2190.0,970.0,970.0
baseline-no-lock-seed-53,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1504.0,1809.0,2065.0,2065.0,561.0,561.0
baseline-no-lock-seed-54,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1690.0,1985.0,2276.0,2276.0,586.0,586.0
baseline-no-lock-seed-55,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1172.0,1633.0,2151.0,2151.0,979.0,979.0
baseline-no-lock-seed-56,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1330.0,1483.0,1820.0,1820.0,490.0,490.0
baseline-no-lock-seed-57,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1794.0,1886.0,2404.0,2404.0,610.0,610.0
baseline-no-lock-seed-58,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,2029.0,2190.0,2338.0,2338.0,309.0,309.0
baseline-no-lock-seed-59,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1828.0,1911.0,2305.0,2305.0,477.0,477.0
baseline-no-lock-seed-60,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq4,,dq4,5,1527.0,1735.0,1769.0,1769.0,242.0,242.0
baseline-no-lock-seed-31,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1348.0,1618.0,1940.0,1940.0,592.0,592.0
baseline-no-lock-seed-32,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1733.0,1873.0,2216.0,2216.0,483.0,483.0
baseline-no-lock-seed-33,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1167.0,1309.0,1598.0,1598.0,431.0,431.0
baseline-no-lock-seed-34,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1185.0,1557.0,1865.0,1865.0,680.0,680.0
baseline-no-lock-seed-35,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1115.0,1496.0,1797.0,1797.0,682.0,682.0
baseline-no-lock-seed-36,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1248.0,1776.0,1825.0,1825.0,577.0,577.0
baseline-no-lock-seed-37,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1223.0,1611.0,1902.0,1902.0,679.0,679.0
baseline-no-lock-seed-38,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1320.0,1547.0,1768.0,1768.0,448.0,448.0
baseline-no-lock-seed-39,pass,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1351.0,1455.0,1962.0,1962.0,611.0,611.0
baseline-no-lock-seed-40,fail,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,5,1263.0,1432.0,1786.0,1786.0,523.0,523.0
