feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,column,experiments_present,present_fraction,pass_median_ps,fail_median_ps,fail_minus_pass_median_ps
direct::direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_2__endpoint__value_ps,direct,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,2,endpoint,direct_direct_max_idelay_data_cntvaluein_lane0_dq1_ctrl_2_endpoint_value_ps,106,1.0,1705.0,1559.0,-146.0
skew::signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,4,ld_vs_cntvaluein_dqs,skew_signed_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_4_ld_vs_cntvaluein_dqs_value_ps,103,0.971698,-30.0,76.5,106.5
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,4,dqs_vs_dq_bit,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq2_ctrl_4_dqs_vs_dq_bit_value_ps,103,0.971698,340.0,263.0,-77.0
skew::abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,skew_abs_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq10_ctrl_4_dqs_vs_dq_bit_value_ps,103,0.971698,278.0,229.5,-48.5
skew::abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,skew_abs_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane1_dqs1_ctrl_3_ld_vs_cntvaluein_dqs_value_ps,103,0.971698,271.0,329.5,58.5
direct::direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_2__endpoint__value_ps,direct,direct_max__idelay_data_cntvaluein__lane0__dq0__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq0,2,endpoint,direct_direct_max_idelay_data_cntvaluein_lane0_dq0_ctrl_2_endpoint_value_ps,106,1.0,1674.0,1582.0,-92.0
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_0_dqs_vs_dq_bit_value_ps,103,0.971698,-23.0,-239.5,-216.5
skew::signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,1,lane1_vs_lane0_dqs,skew_signed_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit_ctrl_1_lane1_vs_lane0_dqs_value_ps,103,0.971698,-274.0,-276.5,-2.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq3_ctrl_0_dqs_vs_dq_bit_value_ps,103,0.971698,116.0,-54.5,-170.5
skew::signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq2_ctrl_2_dqs_vs_dq_bit_value_ps,103,0.971698,-122.0,-86.0,36.0
