sample,status,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps,value_ps
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,2,lane_control_bit,8,1815.0,2162.0,2275.0,2275.0,460.0,460.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1764.0,2147.0,2378.0,2378.0,614.0,614.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1713.0,1890.0,1942.0,1942.0,229.0,229.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,3,lane_control_bit,8,1547.0,1874.5,2019.0,2019.0,472.0,472.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1069.0,1785.5,1932.0,1932.0,863.0,863.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1409.0,1590.5,1794.0,1794.0,385.0,385.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,8,1761.0,1874.5,2092.0,2092.0,331.0,331.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1129.0,1494.5,1817.0,1817.0,688.0,688.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1332.0,1420.5,1597.0,1597.0,265.0,265.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,8,1536.0,1639.0,1777.0,1777.0,241.0,241.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1631.0,1675.5,1776.0,1776.0,145.0,145.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1190.0,1393.5,1639.0,1639.0,449.0,449.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,1,lane_control_bit,8,1514.0,1729.5,1825.0,1825.0,311.0,311.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,1643.0,1990.0,2216.0,2216.0,573.0,573.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,1228.0,1458.5,1761.0,1761.0,533.0,533.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,8,1478.0,1892.5,2042.0,2042.0,564.0,564.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1315.0,1557.0,1848.0,1848.0,533.0,533.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1516.0,1659.0,1848.0,1848.0,332.0,332.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,3,lane_control_bit,8,1194.0,1345.0,1634.0,1634.0,440.0,440.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1085.0,1174.5,1437.0,1437.0,352.0,352.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1465.0,1568.0,1682.0,1682.0,217.0,217.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_data_cntvaluein,lane1,,4,lane_control_bit,8,1470.0,1736.5,1847.0,1847.0,377.0,377.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,1,1628.0,1628.0,1628.0,1628.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,1,1677.0,1677.0,1677.0,1677.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,0,lane_control_bit,1,1605.0,1605.0,1605.0,1605.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,1,2016.0,2016.0,2016.0,2016.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,1,1779.0,1779.0,1779.0,1779.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,1,lane_control_bit,1,1988.0,1988.0,1988.0,1988.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,1,1718.0,1718.0,1718.0,1718.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,1,2332.0,2332.0,2332.0,2332.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,2,lane_control_bit,1,2076.0,2076.0,2076.0,2076.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,1,1993.0,1993.0,1993.0,1993.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,1,1641.0,1641.0,1641.0,1641.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,3,lane_control_bit,1,1687.0,1687.0,1687.0,1687.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,1,1282.0,1282.0,1282.0,1282.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,1,2141.0,2141.0,2141.0,2141.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane0,,4,lane_control_bit,1,2066.0,2066.0,2066.0,2066.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,1,1266.0,1266.0,1266.0,1266.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,1,1411.0,1411.0,1411.0,1411.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,0,lane_control_bit,1,1213.0,1213.0,1213.0,1213.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,1,1569.0,1569.0,1569.0,1569.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,1,1649.0,1649.0,1649.0,1649.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,1,lane_control_bit,1,1467.0,1467.0,1467.0,1467.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,1,1452.0,1452.0,1452.0,1452.0,0.0,0.0
exact-abort-seed3-idelay-control-full-locked,fail,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,1,1774.0,1774.0,1774.0,1774.0,0.0,0.0
exact-abort-seed3-idelay-control-locked,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,2,lane_control_bit,1,2181.0,2181.0,2181.0,2181.0,0.0,0.0
exact-abort-seed3-baseline,pass,control_fanout_spread,idelay_dqs_cntvaluein,lane1,,3,lane_control_bit,1,1809.0,1809.0,1809.0,1809.0,0.0,0.0
