comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq3__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq3,0,endpoint,27,13,676.0,1116.0,1914.0,777.0,1353.0,1975.0,237.0,0.623932,fail_higher,0.623932,0.247863,overlap,0.0,2.321858
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,27,13,8.0,326.0,1275.0,27.0,195.0,1036.0,-131.0,0.376068,fail_lower,0.623932,-0.247863,overlap,0.0,2.321858
locked_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq5__ctrl_none__dq5__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,27,13,334.0,852.0,1310.0,341.0,755.0,1091.0,-97.0,0.376068,fail_lower,0.623932,-0.247863,overlap,0.0,2.321858
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,27,13,8.0,237.0,691.0,57.0,273.0,798.0,36.0,0.623932,fail_higher,0.623932,0.247863,overlap,0.0,2.321858
locked_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,3,dqs_vs_dq_bit,27,13,-646.0,-23.0,631.0,-467.0,171.0,1167.0,194.0,0.621083,fail_higher,0.621083,0.242165,overlap,0.0,2.268482
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,dqs_vs_dq_bit,27,13,12.0,380.0,1287.0,56.0,249.0,801.0,-131.0,0.378917,fail_lower,0.621083,-0.242165,overlap,0.0,2.268482
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq1__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq1,0,endpoint,27,13,930.0,1368.0,2150.0,961.0,1626.0,2193.0,258.0,0.619658,fail_higher,0.619658,0.239316,overlap,0.0,2.241794
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq9,3,endpoint,27,13,1131.0,1552.0,2023.0,1233.0,1439.0,1809.0,-113.0,0.380342,fail_lower,0.619658,-0.239316,overlap,0.0,2.241794
locked_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,0,endpoint,27,13,805.0,1463.0,2244.0,1055.0,1575.0,2288.0,112.0,0.619658,fail_higher,0.619658,0.239316,overlap,0.0,2.241794
locked_abort2_vs_pass,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,27,13,-577.0,64.0,1016.0,-934.0,-60.0,656.0,-124.0,0.381766,fail_lower,0.618234,-0.236467,overlap,0.0,2.215106
locked_abort2_vs_pass,direct,control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_2__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,2,lane_control_bit,27,13,177.0,342.0,878.0,196.0,423.0,890.0,81.0,0.618234,fail_higher,0.618234,0.236467,overlap,0.0,2.215106
locked_abort2_vs_pass,skew,dq_lane_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_2__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane1,,2,dq_lane,27,13,177.0,342.0,878.0,196.0,423.0,890.0,81.0,0.618234,fail_higher,0.618234,0.236467,overlap,0.0,2.215106
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,27,13,3.0,232.0,783.0,35.0,446.0,763.0,214.0,0.615385,fail_higher,0.615385,0.230769,overlap,0.0,2.16173
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,27,13,16.0,235.0,1181.0,28.0,237.0,993.0,2.0,0.384615,fail_lower,0.615385,-0.230769,overlap,0.0,2.16173
locked_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,4,dqs_vs_dq_bit,27,13,17.0,322.0,1021.0,28.0,189.0,536.0,-133.0,0.38604,fail_lower,0.61396,-0.22792,overlap,0.0,2.135042
locked_abort2_vs_pass,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,27,13,-460.5,355.0,727.0,-727.0,131.5,698.5,-223.5,0.387464,fail_lower,0.612536,-0.225071,overlap,0.0,2.108354
locked_abort2_vs_pass,direct,direct_max__idelay_ld__lane1__dq13__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane1,dq13,,endpoint,27,13,976.0,1343.0,1753.0,870.0,1462.0,1722.0,119.0,0.612536,fail_higher,0.612536,0.225071,overlap,0.0,2.108354
