comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_abort2_vs_pass,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_4__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,4,dq_lane,36,19,142.0,378.0,863.0,153.0,296.0,768.0,-82.0,0.350146,fail_lower,0.649854,-0.299708,overlap,0.0,3.919185
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,36,19,21.0,225.5,746.0,20.0,140.0,1018.0,-85.5,0.353801,fail_lower,0.646199,-0.292398,overlap,0.0,3.823596
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq15,4,endpoint,36,19,739.0,1216.5,1886.0,669.0,1371.0,1684.0,154.5,0.643275,fail_higher,0.643275,0.28655,overlap,0.0,3.747124
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,36,19,1.0,161.5,770.0,71.0,196.0,788.0,34.5,0.643275,fail_higher,0.643275,0.28655,overlap,0.0,3.747124
baseline_abort2_vs_pass,skew,dq_bus_skew_range__idelay_cntvaluein_skew__lane1__no_bit__ctrl_none__dq_lane_bus_skew__value_ps,dq_bus_skew_range,idelay_cntvaluein_skew,lane1,,,dq_lane_bus_skew,36,19,202.0,416.5,761.0,167.0,360.0,525.0,-56.5,0.36038,fail_lower,0.63962,-0.27924,overlap,0.0,3.651534
baseline_abort2_vs_pass,direct,direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,2,endpoint,36,19,958.0,1558.0,2078.0,864.0,1356.0,2223.0,-202.0,0.361111,fail_lower,0.638889,-0.277778,overlap,0.0,3.632416
baseline_abort2_vs_pass,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,36,19,-513.0,35.25,475.5,-701.5,166.0,539.0,130.75,0.637427,fail_higher,0.637427,0.274854,overlap,0.0,3.59418
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,36,19,16.0,234.0,891.0,165.0,312.0,1047.0,78.0,0.635965,fail_higher,0.635965,0.27193,overlap,0.0,3.555944
baseline_abort2_vs_pass,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,36,19,5.0,224.5,1002.0,5.0,250.0,880.0,25.5,0.635965,fail_higher,0.635965,0.27193,overlap,0.0,3.555944
baseline_abort2_vs_pass,direct,cntvaluein_bus_skew__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_none__dqs0__value_ps,cntvaluein_bus_skew,idelay_dqs_cntvaluein,lane0,dqs0,,dqs0,36,19,220.0,574.0,1188.0,147.0,846.0,1581.0,272.0,0.635234,fail_higher,0.635234,0.270468,overlap,0.0,3.536826
