comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_seed_1_30,direct,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,22,8,1304.0,1702.5,2209.0,1355.0,1490.5,2183.0,-212.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,22,8,61.0,256.5,960.0,33.0,112.5,871.0,-144.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,22,8,52.0,319.5,816.0,49.0,179.5,410.0,-140.0,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
baseline_seed_1_30,direct,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_1__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,1,lane_control_bit,22,8,212.0,350.0,768.0,159.0,295.5,500.0,-54.5,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
baseline_seed_1_30,skew,dq_lane_range__idelay_cntvaluein_skew__lane0__no_bit__ctrl_1__dq_lane__value_ps,dq_lane_range,idelay_cntvaluein_skew,lane0,,1,dq_lane,22,8,212.0,350.0,768.0,159.0,295.5,500.0,-54.5,0.284091,fail_lower,0.715909,-0.431818,overlap,0.0,2.864358
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,22,8,44.0,449.5,1209.0,39.0,165.0,577.0,-284.5,0.289773,fail_lower,0.710227,-0.420455,overlap,0.0,2.78898
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,22,8,18.0,349.5,778.0,2.0,139.0,499.0,-210.5,0.289773,fail_lower,0.710227,-0.420455,overlap,0.0,2.78898
baseline_seed_1_30,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq9__ctrl_none__dq9__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq9,,dq9,22,8,117.0,377.5,673.0,153.0,273.5,483.0,-104.0,0.289773,fail_lower,0.710227,-0.420455,overlap,0.0,2.78898
baseline_seed_1_30,direct,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,4,endpoint,22,8,1100.0,1441.0,2290.0,990.0,1816.0,2132.0,375.0,0.704545,fail_higher,0.704545,0.409091,overlap,0.0,2.713602
baseline_seed_1_30,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,22,8,34.0,396.5,1212.0,49.0,144.5,495.0,-252.0,0.295455,fail_lower,0.704545,-0.409091,overlap,0.0,2.713602
