comparison,feature_layer,feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps,support_score
baseline_all,direct,cntvaluein_bus_skew__idelay_data_cntvaluein__lane1__dq14__ctrl_none__dq14__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane1,dq14,,dq14,36,24,192.0,575.0,1034.0,181.0,454.0,905.0,-121.0,0.377315,fail_lower,0.622685,-0.24537,overlap,0.0,3.606193
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq2__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq2,2,endpoint,36,24,1207.0,1822.0,2233.0,1202.0,1636.5,2240.0,-185.5,0.378472,fail_lower,0.621528,-0.243056,overlap,0.0,3.572173
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq4__ctrl_2__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq4,2,endpoint,36,24,1264.0,1901.5,2323.0,1284.0,1684.5,2303.0,-217.0,0.381944,fail_lower,0.618056,-0.236111,overlap,0.0,3.47011
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,36,24,-920.0,-87.0,740.0,-464.0,125.0,717.0,212.0,0.618056,fail_higher,0.618056,0.236111,overlap,0.0,3.47011
baseline_all,skew,abs_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,abs_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,36,24,12.0,271.5,1093.0,92.0,311.0,976.0,39.5,0.618056,fail_higher,0.618056,0.236111,overlap,0.0,3.47011
baseline_all,direct,direct_max__idelay_data_cntvaluein__lane0__dq5__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane0,dq5,0,endpoint,36,24,970.0,1501.0,2003.0,1223.0,1637.5,2045.0,136.5,0.617477,fail_higher,0.617477,0.234954,overlap,0.0,3.4531
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,36,24,-1093.0,-33.5,777.0,-976.0,-242.0,804.0,-208.5,0.383102,fail_lower,0.616898,-0.233796,overlap,0.0,3.43609
baseline_all,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,3,ld_vs_cntvaluein_dqs,36,24,2.0,176.0,1344.0,38.0,239.0,846.0,63.0,0.616319,fail_higher,0.616319,0.232639,overlap,0.0,3.419079
baseline_all,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,36,24,-873.0,-240.0,702.0,-653.0,-7.5,1011.0,232.5,0.615741,fail_higher,0.615741,0.231481,overlap,0.0,3.402069
baseline_all,skew,abs_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_3__ld_vs_cntvaluein_dqs__value_ps,abs_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,3,ld_vs_cntvaluein_dqs,36,24,10.0,230.0,1378.0,5.0,418.0,678.0,188.0,0.615162,fail_higher,0.615162,0.230324,overlap,0.0,3.385059
