delta_ps,good_ps,bad_ps,bad_lane,bad_bit,bad_families,key,good_text,bad_text
2942.0,192.0,3134.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[1].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[1\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[1\].A6 (3134:3134:3134) (3134:3134:3134))
2914.0,326.0,3240.0,all,,"['dqs_input', 'idelay_control']",INTERCONNECT:$techmap180601$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_dqs_cntvaluein$rtl/ddr3_controller.v:2497$N_DATA[4:0]$N[0].A[1]$LUT$N.A1,(INTERCONNECT \$auto\$abc9_ops\.cc\:1550\:reintegrate\$180136.O6 \$techmap180601\$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$0\$memwr\$\\idelay_dqs_cntvaluein\$rtl/ddr3_controller\.v\:2497\$7663_DATA\[4\:0\]\$8500\[0\]\.A\[1\]\$LUT\$140.A1 (326:326:326) (326:326:326)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$techmap180601\$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$0\$memwr\$\\idelay_dqs_cntvaluein\$rtl/ddr3_controller\.v\:2497\$7663_DATA\[4\:0\]\$8500\[0\]\.A\[1\]\$LUT\$140.A1 (3240:3240:3240) (3240:3240:3240))
2897.0,192.0,3089.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[3].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[3\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[3\].A6 (3089:3089:3089) (3089:3089:3089))
2853.0,192.0,3045.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[14].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[14\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[14\].A6 (3045:3045:3045) (3045:3045:3045))
2853.0,192.0,3045.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[19].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[19\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[19\].A6 (3045:3045:3045) (3045:3045:3045))
2823.0,192.0,3015.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[23].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[23\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[23\].A6 (3015:3015:3015) (3015:3015:3015))
2823.0,192.0,3015.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$procmux$N.Y[2].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[2\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$procmux\$13907\.Y\[2\].A6 (3015:3015:3015) (3015:3015:3015))
2518.0,241.0,2759.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.cmd_d[0][12].A4,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$38319.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.cmd_d\[0\]\[12\].A4 (241:241:241) (241:241:241)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$29651.Q \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.cmd_d\[0\]\[12\].A4 (2759:2759:2759) (2759:2759:2759))
2448.0,192.0,2640.0,all,,['other'],INTERCONNECT:$abc$$lutddr3_top_inst.ddr3_controller_inst.cmd_d[0][12].A6,(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.cmd_d\[0\]\[12\].A6 (192:192:192) (192:192:192)),(INTERCONNECT \$PACKER_VCC_DRV.Y \$abc\$179448\$lut\\ddr3_top_inst\.ddr3_controller_inst\.cmd_d\[0\]\[12\].A6 (2640:2640:2640) (2640:2640:2640))
2414.0,300.0,2714.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[38].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42933.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[38\].A2 (300:300:300) (300:300:300)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[38\].A2 (2714:2714:2714) (2714:2714:2714))
2166.0,308.0,2474.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[32].A2,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42927.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[32\].A2 (308:308:308) (308:308:308)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[32\].A2 (2474:2474:2474) (2474:2474:2474))
2098.0,437.0,2535.0,all,,['other'],INTERCONNECT:$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$shiftx$rtl/ddr3_controller.v:0$N.buffer[67].A3,(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42954.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[67\].A3 (437:437:437) (437:437:437)),(INTERCONNECT \$auto\$ff\.cc\:266\:slice\$42761.Q \$abc\$179448\$lut\$flatten\\ddr3_top_inst\.\\ddr3_controller_inst\.\$shiftx\$rtl/ddr3_controller\.v\:0\$9080\.buffer\[67\].A3 (2535:2535:2535) (2535:2535:2535))
