x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
277.0,229.0,,,277.0,229.0,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed16-long-poll
114.5,487.0,114.5,487.0,,,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed20
105.0,295.0,,,105.0,295.0,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed23-long-poll
685.5,350.0,685.5,350.0,,,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed27
127.0,337.0,,,127.0,337.0,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed28-long-poll
230.5,240.0,,,230.5,240.0,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed30-long-poll
684.5,258.0,684.5,258.0,,,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed5
286.0,242.0,286.0,242.0,,,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed6
444.0,214.0,444.0,214.0,,,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
392.0,518.0,392.0,518.0,,,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
