x_ps,y_ps,pass_x_ps,pass_y_ps,fail_x_ps,fail_y_ps,seed,run_group,variant,abort_reason,experiment_id
233.0,-452.0,233.0,-452.0,,,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-40
254.0,-25.0,,,254.0,-25.0,41,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-41
301.0,-28.0,301.0,-28.0,,,42,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-42
386.0,-28.0,386.0,-28.0,,,43,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-43
365.0,-146.0,365.0,-146.0,,,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-44
530.0,-142.0,,,530.0,-142.0,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-45
632.0,547.0,632.0,547.0,,,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-46
589.0,-484.0,589.0,-484.0,,,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
319.0,-57.0,,,319.0,-57.0,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
194.0,-110.0,194.0,-110.0,,,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
174.0,68.0,,,174.0,68.0,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
271.0,-243.0,,,271.0,-243.0,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
185.0,-538.0,,,185.0,-538.0,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
477.0,-250.0,,,477.0,-250.0,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
346.0,89.0,346.0,89.0,,,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
508.0,-66.0,508.0,-66.0,,,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
217.0,-326.0,217.0,-326.0,,,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
295.0,-451.0,295.0,-451.0,,,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
338.0,240.0,338.0,240.0,,,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
339.0,233.0,339.0,233.0,,,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
373.0,-204.0,,,373.0,-204.0,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
355.0,415.0,355.0,415.0,,,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed1
397.0,-125.0,397.0,-125.0,,,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed11
213.0,-601.0,,,213.0,-601.0,12,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed12-long-poll
229.0,-60.0,,,229.0,-60.0,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed16-long-poll
487.0,460.0,487.0,460.0,,,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed20
295.0,463.0,,,295.0,463.0,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed23-long-poll
350.0,-385.0,350.0,-385.0,,,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed27
337.0,656.0,,,337.0,656.0,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed28-long-poll
240.0,9.0,,,240.0,9.0,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed30-long-poll
258.0,563.0,258.0,563.0,,,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed5
242.0,217.0,242.0,217.0,,,6,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed6
214.0,186.0,214.0,186.0,,,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
518.0,1016.0,518.0,1016.0,,,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
