lane_mismatch_ps,dqs_dq_ps,ld_point_size,pass_lane_mismatch_ps,pass_dqs_dq_ps,pass_ld_size,fail_lane_mismatch_ps,fail_dqs_dq_ps,fail_ld_size,ld_cntvaluein_ps,seed,variant,abort_reason,experiment_id
-388.0,187.0,0.939018,-388.0,187.0,0.939018,,,,107.0,50,baseline-no-lock,0,baseline-no-lock-seed-50
-268.5,327.0,1.222215,,,,-268.5,327.0,1.222215,232.0,50,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
-330.5,311.0,1.383071,-330.5,311.0,1.383071,,,,303.0,51,baseline-no-lock,0,baseline-no-lock-seed-51
-316.5,16.0,1.172373,,,,-316.5,16.0,1.172373,210.0,51,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
-402.5,301.0,1.030774,-402.5,301.0,1.030774,,,,147.5,52,baseline-no-lock,0,baseline-no-lock-seed-52
-273.5,763.0,1.392133,,,,-273.5,763.0,1.392133,307.0,52,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
-294.5,910.0,1.991378,-294.5,910.0,1.991378,,,,571.5,53,baseline-no-lock,0,baseline-no-lock-seed-53
-313.5,159.0,0.937885,,,,-313.5,159.0,0.937885,106.5,53,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
-361.0,752.0,0.967338,,,,-361.0,752.0,0.967338,119.5,54,baseline-no-lock,2,baseline-no-lock-seed-54
-504.0,505.0,1.119132,-504.0,505.0,1.119132,,,,186.5,54,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
-299.0,510.0,1.167841,,,,-299.0,510.0,1.167841,208.0,55,baseline-no-lock,2,baseline-no-lock-seed-55
-631.5,78.0,1.291315,-631.5,78.0,1.291315,,,,262.5,55,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
-281.5,484.0,1.312838,-281.5,484.0,1.312838,,,,272.0,56,baseline-no-lock,0,baseline-no-lock-seed-56
-50.0,252.0,1.233543,-50.0,252.0,1.233543,,,,237.0,56,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
-222.0,181.0,1.296979,,,,-222.0,181.0,1.296979,265.0,57,baseline-no-lock,0,baseline-no-lock-seed-57
-300.5,783.0,1.162177,-300.5,783.0,1.162177,,,,205.5,57,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
-223.0,61.0,0.92769,,,,-223.0,61.0,0.92769,102.0,58,baseline-no-lock,2,baseline-no-lock-seed-58
50.0,232.0,1.435179,50.0,232.0,1.435179,,,,326.0,58,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
-167.5,181.0,0.778162,-167.5,181.0,0.778162,,,,36.0,59,baseline-no-lock,0,baseline-no-lock-seed-59
-12.0,30.0,0.757772,-12.0,30.0,0.757772,,,,27.0,59,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
-32.5,166.0,0.85859,,,,-32.5,166.0,0.85859,71.5,60,baseline-no-lock,2,baseline-no-lock-seed-60
-428.0,533.0,1.871303,,,,-428.0,533.0,1.871303,518.5,60,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
-175.5,163.0,1.137256,-175.5,163.0,1.137256,,,,194.5,2,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
-125.5,533.0,2.053682,-125.5,533.0,2.053682,,,,599.0,3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
