experiment_id,seed,run_group,variant,abort_reason,status,lane_mismatch_ps,dqs_dq_ps,ld_cntvaluein_ps,capture_lane_score_z,ld_score_z,combined_score_z
cntvaluein3-skew-locked-seed-44,44,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-470.5,18.0,512.5,-2.340694,1.22673,-1.113963
baseline-no-lock-seed-45,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-164.5,360.0,99.0,1.058013,-0.882132,0.175881
cntvaluein3-skew-locked-seed-45,45,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-317.5,650.0,754.5,1.470404,2.460938,3.931341
baseline-no-lock-seed-46,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-281.5,204.0,138.0,-0.35709,-0.683231,-1.04032
cntvaluein3-skew-locked-seed-46,46,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-552.5,3.0,774.5,-2.900354,2.562938,-0.337416
baseline-no-lock-seed-47,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-346.5,491.0,631.5,0.56843,1.833634,2.402064
cntvaluein3-skew-locked-seed-47,47,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-458.0,109.0,130.0,-1.849002,-0.724031,-2.573033
baseline-no-lock-seed-48,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-430.5,69.0,27.5,-1.867586,-1.246784,-3.11437
cntvaluein3-skew-locked-seed-48,48,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,fail,-240.5,337.0,247.5,0.497629,-0.124777,0.372852
baseline-no-lock-seed-49,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-243.5,140.0,110.0,-0.422747,-0.826031,-1.248779
cntvaluein3-skew-locked-seed-49,49,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-49.5,526.0,289.0,2.50695,0.086874,2.593824
baseline-no-lock-seed-50,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-388.0,187.0,107.0,-1.072598,-0.841332,-1.913929
cntvaluein3-skew-locked-seed-50,50,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-268.5,327.0,232.0,0.284181,-0.203828,0.080353
baseline-no-lock-seed-51,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-330.5,311.0,303.0,-0.160317,0.158274,-0.002043
cntvaluein3-skew-locked-seed-51,51,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,fail,-316.5,16.0,210.0,-1.427829,-0.316029,-1.743858
baseline-no-lock-seed-52,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-402.5,301.0,147.5,-0.637202,-0.63478,-1.271982
cntvaluein3-skew-locked-seed-52,52,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-273.5,763.0,307.0,2.251469,0.178674,2.430143
baseline-no-lock-seed-53,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-294.5,910.0,571.5,2.799114,1.527632,4.326746
cntvaluein3-skew-locked-seed-53,53,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-313.5,159.0,106.5,-0.754815,-0.843882,-1.598697
baseline-no-lock-seed-54,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-361.0,752.0,119.5,1.677202,-0.777581,0.89962
cntvaluein3-skew-locked-seed-54,54,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-504.0,505.0,186.5,-0.31042,-0.435879,-0.746299
baseline-no-lock-seed-55,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-299.0,510.0,208.0,0.939856,-0.326229,0.613627
cntvaluein3-skew-locked-seed-55,55,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-631.5,78.0,262.5,-3.029782,-0.048277,-3.078059
baseline-no-lock-seed-56,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-281.5,484.0,272.0,0.925531,0.000173,0.925704
cntvaluein3-skew-locked-seed-56,56,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-50.0,252.0,237.0,1.24882,-0.178328,1.070492
baseline-no-lock-seed-57,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,fail,-222.0,181.0,265.0,-0.106211,-0.035527,-0.141738
cntvaluein3-skew-locked-seed-57,57,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-300.5,783.0,205.5,2.18143,-0.338979,1.842452
baseline-no-lock-seed-58,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-223.0,61.0,102.0,-0.661893,-0.866832,-1.528724
cntvaluein3-skew-locked-seed-58,58,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,50.0,232.0,326.0,1.755922,0.275575,2.031497
baseline-no-lock-seed-59,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,0,pass,-167.5,181.0,36.0,0.220091,-1.203434,-0.983343
cntvaluein3-skew-locked-seed-59,59,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,0,pass,-12.0,30.0,27.0,0.459398,-1.249334,-0.789936
baseline-no-lock-seed-60,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,baseline-no-lock,2,fail,-32.5,166.0,71.5,0.959648,-1.022383,-0.062735
cntvaluein3-skew-locked-seed-60,60,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,2,fail,-428.0,533.0,518.5,0.272868,1.257331,1.530198
cntvaluein3-skew-locked-seed2,2,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,pass,-175.5,163.0,194.5,0.089739,-0.395079,-0.30534
cntvaluein3-skew-locked-seed3,3,split_idelay_skew_seed2_seed3,cntvaluein3-skew-locked,0,pass,-125.5,533.0,599.0,2.08399,1.667883,3.751873
