x,combined_score_z,pass_score,fail_score,status,seed,variant,abort_reason,experiment_id
1.04848,-2.573033,-2.573033,,pass,47,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-47
1.02736,-3.11437,-3.11437,,pass,48,baseline-no-lock,0,baseline-no-lock-seed-48
2.05592,0.372852,,0.372852,fail,48,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-48
1.03312,-1.248779,-1.248779,,pass,49,baseline-no-lock,0,baseline-no-lock-seed-49
1.06336,2.593824,2.593824,,pass,49,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-49
0.9868,-1.913929,-1.913929,,pass,50,baseline-no-lock,0,baseline-no-lock-seed-50
2.0036,0.080353,,0.080353,fail,50,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-50
0.99256,-0.002043,-0.002043,,pass,51,baseline-no-lock,0,baseline-no-lock-seed-51
2.01104,-1.743858,,-1.743858,fail,51,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-51
0.99832,-1.271982,-1.271982,,pass,52,baseline-no-lock,0,baseline-no-lock-seed-52
2.01848,2.430143,,2.430143,fail,52,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-52
1.00408,4.326746,4.326746,,pass,53,baseline-no-lock,0,baseline-no-lock-seed-53
2.02592,-1.598697,,-1.598697,fail,53,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-53
2.00984,0.89962,,0.89962,fail,54,baseline-no-lock,2,baseline-no-lock-seed-54
1.03336,-0.746299,-0.746299,,pass,54,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-54
2.0156,0.613627,,0.613627,fail,55,baseline-no-lock,2,baseline-no-lock-seed-55
1.0408,-3.078059,-3.078059,,pass,55,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-55
1.02136,0.925704,0.925704,,pass,56,baseline-no-lock,0,baseline-no-lock-seed-56
1.04824,1.070492,1.070492,,pass,56,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-56
2.02712,-0.141738,,-0.141738,fail,57,baseline-no-lock,0,baseline-no-lock-seed-57
1.05568,1.842452,1.842452,,pass,57,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-57
2.03288,-1.528724,,-1.528724,fail,58,baseline-no-lock,2,baseline-no-lock-seed-58
1.06312,2.031497,2.031497,,pass,58,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-58
1.03864,-0.983343,-0.983343,,pass,59,baseline-no-lock,0,baseline-no-lock-seed-59
1.07056,-0.789936,-0.789936,,pass,59,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed-59
1.99232,-0.062735,,-0.062735,fail,60,baseline-no-lock,2,baseline-no-lock-seed-60
2.0108,1.530198,,1.530198,fail,60,cntvaluein3-skew-locked,2,cntvaluein3-skew-locked-seed-60
1.01968,-0.30534,-0.30534,,pass,2,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed2
1.02664,3.751873,3.751873,,pass,3,cntvaluein3-skew-locked,0,cntvaluein3-skew-locked-seed3
