experiment_id,seed,variant,bitstream,result_json,log,returncode,status
baseline-no-lock-seed-36,36,baseline-no-lock,/nix/store/hqdp7l836r71pd97hi95c4f5ajfj7xx3-ypcb-ddr3-bitstream-seed-36/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-36.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-36.log,0,pass
cntvaluein3-skew-locked-seed-36,36,cntvaluein3-skew-locked,/nix/store/4cr71lnl6m3fz4qa8v5mp9r1qrv51781-ypcb-ddr3-bitstream-seed-36-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-36.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-36.log,2,fail
baseline-no-lock-seed-37,37,baseline-no-lock,/nix/store/hd5774g7g7yrfc2mljlxxa52p91f759k-ypcb-ddr3-bitstream-seed-37/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-37.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-37.log,2,fail
cntvaluein3-skew-locked-seed-37,37,cntvaluein3-skew-locked,/nix/store/0qjhps56aa7rfj0iqj3alwi20yl8bp9f-ypcb-ddr3-bitstream-seed-37-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-37.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-37.log,0,pass
baseline-no-lock-seed-38,38,baseline-no-lock,/nix/store/jv75hgxvi6my0i6zali355x0hf31adjp-ypcb-ddr3-bitstream-seed-38/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-38.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-38.log,2,fail
cntvaluein3-skew-locked-seed-38,38,cntvaluein3-skew-locked,/nix/store/568r0dwimixb21290pz43s3wsirw0rmi-ypcb-ddr3-bitstream-seed-38-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-38.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-38.log,0,pass
baseline-no-lock-seed-39,39,baseline-no-lock,/nix/store/kwifrd1af5mz2jlb6l7viimln7rs4ian-ypcb-ddr3-bitstream-seed-39/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-39.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-39.log,0,pass
cntvaluein3-skew-locked-seed-39,39,cntvaluein3-skew-locked,/nix/store/imrrr13abkc3229flimk8r4vbfc3s9vm-ypcb-ddr3-bitstream-seed-39-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-39.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-39.log,2,fail
baseline-no-lock-seed-40,40,baseline-no-lock,/nix/store/8q2bswb92vs5f7c3njjmjx82lmqray88-ypcb-ddr3-bitstream-seed-40/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-40.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-40.log,2,fail
cntvaluein3-skew-locked-seed-40,40,cntvaluein3-skew-locked,/nix/store/b8psr5rc3yvpdpqqdkndr7zs17jdpwhi-ypcb-ddr3-bitstream-seed-40-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-40.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-40.log,0,pass
baseline-no-lock-seed-41,41,baseline-no-lock,/nix/store/vaxka3qmc6gzgrk026ykmv7mix48awxm-ypcb-ddr3-bitstream-seed-41/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-41.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-41.log,2,fail
cntvaluein3-skew-locked-seed-41,41,cntvaluein3-skew-locked,/nix/store/j6ihgwipnjnkz3ffdy3nhg3z25ilwkwm-ypcb-ddr3-bitstream-seed-41-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-41.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-41.log,2,fail
baseline-no-lock-seed-42,42,baseline-no-lock,/nix/store/krd4gv3q7lwr8i43msmlba5vkbnsw0ix-ypcb-ddr3-bitstream-seed-42/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-42.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-42.log,2,fail
cntvaluein3-skew-locked-seed-42,42,cntvaluein3-skew-locked,/nix/store/a3bqggnikjzsi5kygbfbvjs665rj2npv-ypcb-ddr3-bitstream-seed-42-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-42.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-42.log,0,pass
baseline-no-lock-seed-43,43,baseline-no-lock,/nix/store/b85iqzflbc65d18vm0zk3rdvp1baxnz7-ypcb-ddr3-bitstream-seed-43/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-43.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-43.log,0,pass
cntvaluein3-skew-locked-seed-43,43,cntvaluein3-skew-locked,/nix/store/gmnj7vjgacpcczkx17l8fm1r887pippz-ypcb-ddr3-bitstream-seed-43-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-43.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-43.log,0,pass
baseline-no-lock-seed-44,44,baseline-no-lock,/nix/store/c5462dk95cdv2yjghll7nqxay0pz8zky-ypcb-ddr3-bitstream-seed-44/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-44.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-44.log,2,fail
cntvaluein3-skew-locked-seed-44,44,cntvaluein3-skew-locked,/nix/store/bd739aj8q7qnypwgizaf2lp93vx6wvi4-ypcb-ddr3-bitstream-seed-44-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-44.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-44.log,0,pass
baseline-no-lock-seed-45,45,baseline-no-lock,/nix/store/0m4xl3gh2yb5b0lks605xbzvdvz82rmy-ypcb-ddr3-bitstream-seed-45/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-45.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-45.log,2,fail
cntvaluein3-skew-locked-seed-45,45,cntvaluein3-skew-locked,/nix/store/cry7nvi3zi407aa31vpwzzkclg8bydk7-ypcb-ddr3-bitstream-seed-45-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-45.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-45.log,2,fail
baseline-no-lock-seed-46,46,baseline-no-lock,/nix/store/38aisxmikdgk0i6j9j4qlkxc92wb9rpd-ypcb-ddr3-bitstream-seed-46/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-46.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-46.log,0,pass
cntvaluein3-skew-locked-seed-46,46,cntvaluein3-skew-locked,/nix/store/vh0kz4dkadikz0ymdiqqblaigyhdcv18-ypcb-ddr3-bitstream-seed-46-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-46.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-46.log,0,pass
baseline-no-lock-seed-47,47,baseline-no-lock,/nix/store/2nlxj2439p3ff6z1dp85xv7n0mqwycna-ypcb-ddr3-bitstream-seed-47/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-47.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-47.log,2,fail
cntvaluein3-skew-locked-seed-47,47,cntvaluein3-skew-locked,/nix/store/rhiyfl38wqdcpnns3sv2h4s69chn22rb-ypcb-ddr3-bitstream-seed-47-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-47.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-47.log,0,pass
baseline-no-lock-seed-48,48,baseline-no-lock,/nix/store/c5vwq72qivbb394a8ccyfbn5ckbi3c4y-ypcb-ddr3-bitstream-seed-48/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-48.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-48.log,0,pass
cntvaluein3-skew-locked-seed-48,48,cntvaluein3-skew-locked,/nix/store/w8c398gyy99ckxx80rh28l3qadlg3ipg-ypcb-ddr3-bitstream-seed-48-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-48.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-48.log,2,fail
baseline-no-lock-seed-49,49,baseline-no-lock,/nix/store/0i6m68nj0srd4w5i4a66rk0ziq43cwy4-ypcb-ddr3-bitstream-seed-49/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-49.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-49.log,0,pass
cntvaluein3-skew-locked-seed-49,49,cntvaluein3-skew-locked,/nix/store/9q0z5m1djx10gp4gg1rm06126zkrq3zk-ypcb-ddr3-bitstream-seed-49-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-49.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-49.log,0,pass
baseline-no-lock-seed-50,50,baseline-no-lock,/nix/store/b50jb4cqqs04iqlrlpa23azddsjn02l1-ypcb-ddr3-bitstream-seed-50/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-50.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-50.log,0,pass
cntvaluein3-skew-locked-seed-50,50,cntvaluein3-skew-locked,/nix/store/xyyr39h7qj3yn6xisvlrs3zq3166bli8-ypcb-ddr3-bitstream-seed-50-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-50.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-50.log,2,fail
baseline-no-lock-seed-51,51,baseline-no-lock,/nix/store/vlgbk7nzn54a24fr1y1xnxrapky26ph0-ypcb-ddr3-bitstream-seed-51/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-51.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/baseline-no-lock-seed-51.log,0,pass
cntvaluein3-skew-locked-seed-51,51,cntvaluein3-skew-locked,/nix/store/irxk4nrmkjk3lgv6l0lx75gbqn6gsfxv-ypcb-ddr3-bitstream-seed-51-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3_openxc7.bit,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-51.json,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-51.log,2,fail
