feature,metric,family,lane,bit,control_bit,scope,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,fail_minus_pass_median_ps,fail_min_minus_pass_max_ps,pass_min_minus_fail_max_ps,auc_fail_higher,auc_best_direction,auc_best,cliffs_delta_fail_higher,strict_separation,strict_margin_ps
direct_max__idelay_data_cntvaluein__lane1__dq12__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq12,3,endpoint,2,1,1452.0,1559.0,1666.0,1666.0,1666.0,1666.0,107.0,0.0,-214.0,0.75,fail_higher,0.75,0.5,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq8__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq8,3,endpoint,2,1,1634.0,1741.0,1848.0,1848.0,1848.0,1848.0,107.0,0.0,-214.0,0.75,fail_higher,0.75,0.5,overlap,0.0
direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_3__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,3,endpoint,2,1,1544.0,1650.0,1756.0,1756.0,1756.0,1756.0,106.0,0.0,-212.0,0.75,fail_higher,0.75,0.5,overlap,0.0
lane_spread__dq_iologic__lane1__no_bit__ctrl_none__lane__value_ps,lane_spread,dq_iologic,lane1,,,lane,2,1,2358.0,2838.5,3319.0,2420.0,2420.0,2420.0,-418.5,-899.0,-62.0,0.5,fail_higher,0.5,0.0,overlap,0.0
cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq5__ctrl_none__dq5__value_ps,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq5,,dq5,2,1,459.0,867.5,1276.0,479.0,479.0,479.0,-388.5,-797.0,-20.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq8,,endpoint,2,1,2358.0,2749.5,3141.0,2417.0,2417.0,2417.0,-332.5,-724.0,-59.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq6,,endpoint,2,1,1371.0,1695.0,2019.0,1963.0,1963.0,1963.0,268.0,-56.0,-592.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq10,,endpoint,2,1,2039.0,2679.0,3319.0,2420.0,2420.0,2420.0,-259.0,-899.0,-381.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__idelay_ld__lane0__dq7__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq7,,endpoint,2,1,1360.0,1621.5,1883.0,1871.0,1871.0,1871.0,249.5,-12.0,-511.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__idelay_ld__lane0__dq4__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq4,,endpoint,2,1,1330.0,1652.5,1975.0,1868.0,1868.0,1868.0,215.5,-107.0,-538.0,0.5,fail_higher,0.5,0.0,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_4__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane0,,4,lane_control_bit,2,1,331.0,597.0,863.0,385.0,385.0,385.0,-212.0,-478.0,-54.0,0.5,fail_higher,0.5,0.0,overlap,0.0
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,control_fanout_spread,idelay_data_cntvaluein,lane1,,0,lane_control_bit,2,1,241.0,464.5,688.0,265.0,265.0,265.0,-199.5,-423.0,-24.0,0.5,fail_higher,0.5,0.0,overlap,0.0
direct_max__idelay_ld__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max,idelay_ld,lane0,dq1,,endpoint,2,1,1190.0,1717.0,2244.0,1909.0,1909.0,1909.0,192.0,-335.0,-719.0,0.5,fail_higher,0.5,0.0,overlap,0.0
