feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,13,5,9,4,5,-47.5,-375,2,5,0,3,219,111.5,1,1,2,2,-234.75,37.75,2,1,1,3,149,-232.5,0,2,1,-187.25,0.6,247.25
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dqs,13,4,6,7,5,-76,76,2,2,3,3,14,-14,0,2,1,2,159,-52,1,1,1,3,-176,176,1,1,2,235,0.1,245
signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_0__lane1_vs_lane0_dqs__value_ps,signed_lane1_minus_lane0_dqs,idelay_cntvaluein_skew,all,,0,lane1_vs_lane0_dqs,13,3,5,7,5,-30,30,0,1,3,3,-33,33,1,1,2,2,-221.5,194.5,1,0,2,3,224,-224,1,3,0,-191.5,0.5,241.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,13,7,7,6,5,15,15,3,2,3,3,3,3,0,1,2,2,241.5,-230.5,1,2,0,3,609,-197,3,2,1,226.5,-0.1,236.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,13,10,6,7,5,206,159,4,1,4,3,171,-79,2,2,1,2,408.5,-179.5,1,2,0,3,609,104,3,1,2,202.5,-0.3,232.5
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,13,0,8,5,5,-20,20,0,2,3,3,260,-260,0,2,1,2,203.25,-203.25,0,2,0,3,43.5,-43.5,0,2,1,223.25,0,223.25
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_2__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,2,dqs_vs_dq_lane,13,8,7,6,5,552.5,-59,3,3,2,3,360.5,-360.5,1,2,1,2,379,14.5,2,1,1,3,667,212.5,2,1,2,-173.5,0.4,213.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,13,8,8,5,5,586,-22,3,3,2,3,346,-346,1,2,1,2,419.5,-84.5,2,1,1,3,747,-13,2,2,1,-166.5,0.4,206.5
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,13,9,5,8,5,143,-60,3,3,2,3,-284,26,2,1,2,2,338,-92,1,1,1,3,957,345,3,0,3,195,-0.1,205
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,13,9,6,7,5,185.5,155.5,4,2,3,3,-19.5,-19.5,1,2,1,2,356.25,-90.25,1,1,1,3,609,94,3,1,2,170.75,-0.3,200.75
