feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,30,11,13,17,13,134,-134,5,7,6,3,-71,71,0,1,2,8,-488,94.5,3,3,5,6,75,192,3,2,4,-622,-0.009615,622.9615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,30,13,18,12,13,159,-101,5,8,5,3,200,-200,0,3,0,8,-435,-31.5,4,4,4,6,228,-2.5,4,3,3,-594,0.115385,605.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,30,11,19,11,13,116,-116,3,10,3,3,273,-243,1,3,0,8,-475,3,3,4,4,6,226,99,4,2,4,-591,0.144231,605.4231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,30,15,17,13,13,-147,77,6,6,7,3,-551,-209,3,2,1,8,429.5,-196,2,5,3,6,-31.5,-112.5,4,4,2,576.5,-0.211538,597.6538
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,30,12,18,12,13,135,-115,5,9,4,3,1,-1,0,2,1,8,-451.25,-50.5,3,5,3,6,222,161.5,4,2,4,-586.25,-0.009615,587.2115
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,dqs_vs_dq_bit,30,12,17,13,13,134,-134,4,10,3,3,-107,107,1,1,2,8,-387.5,-144.5,4,5,3,6,178,212,3,1,5,-521.5,0.192308,540.7308
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,30,14,17,13,13,126,36,6,6,7,3,254,-127,1,3,0,8,-396,-96,3,5,3,6,288,55,4,3,3,-522,-0.086538,530.6538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,30,12,19,11,13,139,-139,5,9,4,3,161,-161,0,2,1,8,-361.5,-82.5,3,5,3,6,358.5,50.5,4,3,3,-500.5,-0.009615,501.4615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,30,14,20,10,13,159,-62,5,8,5,3,98,-98,0,3,0,8,-328,-76,4,6,2,6,205,34.5,5,3,3,-487,0.115385,498.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,30,17,19,11,13,-120,76,7,6,7,3,-286,-266,3,2,1,8,360.5,-311.5,3,7,1,6,91,-65.5,4,4,2,480.5,-0.163462,496.8462
