feature_a,feature_b,n_pass,n_fail,auc_pair_score_fail_higher,auc_best,fail_minus_pass_median_score
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,6,5,0.933333,0.933333,703.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,679.5
control_fanout_spread__idelay_data_cntvaluein__lane1__no_bit__ctrl_0__lane_control_bit__value_ps,direct_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,629.5
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,624.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,614.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,548.5
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,533.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__idelay_ld__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,526.5
direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,6,5,0.933333,0.933333,521.5
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_4__endpoint__value_ps,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,478.5
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,6,5,0.933333,0.933333,467.5
direct_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,454.5
direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,6,5,0.933333,0.933333,432.5
direct_max__idelay_data_cntvaluein__lane1__dq15__ctrl_1__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,395.5
direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane0__dq6__ctrl_2__endpoint__value_ps,6,5,0.933333,0.933333,342.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,6,5,0.933333,0.933333,304.0
direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_0__endpoint__value_ps,6,5,0.933333,0.933333,283.5
lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,control_fanout_spread__idelay_data_cntvaluein__lane0__no_bit__ctrl_2__lane_control_bit__value_ps,6,5,0.916667,0.916667,438.0
direct_max__idelay_dqs_cntvaluein__lane0__dqs0__ctrl_2__endpoint__value_ps,direct_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,1093.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,996.5
direct_max__idelay_ld__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,841.5
direct_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,direct_max__idelay_data_cntvaluein__lane1__dq9__ctrl_1__endpoint__value_ps,6,5,0.9,0.9,810.0
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,6,5,0.9,0.9,808.5
direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,lane_spread__dq_iologic__lane0__no_bit__ctrl_none__lane__value_ps,6,5,0.9,0.9,795.5
